categorysingleplayer;categorymultiplayer;categorycoop;categorymmo;categoryvrsupport;genreisindie;genreisaction;genreisadventure;genreiscasual;genreisstrategy;genreisrpg;genreissimulation;genreissports;genreisracing;genreismassivelymultiplayer;recommendationcount;id
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;68991;10
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;2439;20
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;2319;30
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;888;40
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;2934;50
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1965;60
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;12486;70
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;7067;80
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;7067;80
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;2219;130
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;35792;220
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;53931;240
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;2547;280
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;7185;300
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;4328;320
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;4352;340
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;864;360
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;4437;380
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;27535;400
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;6104;420
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;383949;440
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;9980;500
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;140726;550
false;true;true;false;false;false;true;false;false;true;false;false;false;false;false;590480;570
true;false;true;false;false;false;true;true;false;false;false;false;false;false;false;73128;620
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;14625;630
true;false;true;false;false;false;true;true;false;false;false;false;false;false;false;73128;620
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1427633;730
false;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1220;1002
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;44364;1200
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;385;1250
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;385;1300
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;385;1300
true;false;false;false;false;true;false;false;false;true;false;false;false;false;false;444;1300
true;false;false;false;false;true;false;false;false;true;false;false;false;false;false;1240;1500
true;true;false;false;false;true;false;false;false;true;false;false;false;false;false;1655;1510
true;true;false;false;false;true;false;false;false;false;false;false;false;false;false;340;1520
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;112;1530
true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;299;1600
true;true;true;false;false;false;false;false;false;true;false;false;false;false;false;400;1610
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;210;1620
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;204;1630
true;false;false;false;false;false;false;false;false;false;true;false;false;false;false;389;1640
false;false;false;false;false;false;false;false;false;false;false;false;false;false;false;10079;1670
true;true;false;false;false;false;false;false;false;true;false;false;false;false;false;412;1690
true;true;false;false;false;false;false;false;false;false;true;false;false;false;false;2399;1700
true;true;false;false;false;false;true;false;false;false;true;false;false;false;false;2776;1840
true;true;false;false;false;false;true;false;false;false;true;false;false;false;false;2776;1900
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;656;1930
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;509;2100
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;1061;2100
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;2000;2200
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;389;2210
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1279;2270
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;1266;2280
true;true;true;false;false;false;true;false;false;false;false;false;false;false;false;660;2290
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;158;2300
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;241;2310
true;true;false;false;false;true;true;false;false;false;true;false;false;false;false;5026;2320
true;false;false;false;false;true;true;false;false;false;true;false;false;false;false;706;2330
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;716;2340
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;973;2350
true;true;true;false;false;true;false;false;true;false;false;false;false;false;false;291;2360
true;false;false;false;false;true;false;false;false;false;true;false;false;false;false;129;2370
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;984;2390
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;3983;2400
true;false;false;false;false;false;true;false;false;false;false;false;false;false;false;351;2420
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;851;2450
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;1307;2500
true;true;false;false;false;false;true;false;false;false;false;false;false;false;false;318;2520
